Categoría,Producto,Origen,Proveedor,Precio,Unidad
Fruta,Fruta para untar de melocotón Pura Fruta Helios sin gluten 250 g.,España,HELIOS,3.15 €,"12,60 €/kg"
Fruta,Fruta para untar de fresa Pura Fruta Helios sin gluten 250 g.,España,HELIOS,3.15 €,"12,60 €/kg"
Fruta,Fruta para untar de arándano Pura Fruta Helios sin gluten 250 g.,España,HELIOS,3.89 €,"15,56 €/kg"
Fruta,Cóctel fruta tropical deshidratada Carrefour tarrina 200 g,España,CARREFOUR,3.05 €,"15,25 €/kg"
Fruta,Bolsita de fruta mediterránea Mi Futa Hero sin gluten y sin azúcar añadido 100 g.,España,HERO,1.21 €,"12,10 €/kg"
Fruta,Bolsita de fruta tropical Hero Mi Fruta sin gluten 100 g.,España,HERO,1.21 €,"12,10 €/kg"
Fruta,Zumo de fruta y leche Carrefour Tropical sin lactosa pack de 6 briks de 20 cl.,Francia,CARREFOUR,2.25 €,"1,87 €/l"
Fruta,Bolsita de fruta y galleta Nestlé Party Fruits sin azúcar añadido 110 g.,Desconocido,NESTLE,1.25 €,"11,36 €/kg"
Fruta,Zumo de fruta y leche Carrefour Tropical pack de 6 briks de 20 cl.,Francia,CARREFOUR,1.2 €,1 €/l
Fruta,Zumo de fruta y leche Carrefour Mediterráneo pack de 3 briks de 33 cl.,Francia,CARREFOUR,0.99 €,1 €/l
Fruta,Bebida de fruta de piña Juver brik 2 l.,España,JUVER,2.19 €,"1,09 €/l"
Fruta,Bebida de fruta naranja y mango Granini Selección Mix botella 1 l.,Desconocido,GRANINI,3.25 €,"3,25 €/l"
Fruta,"Bebida de fruta granada y manzana Granini Selección Mix botella 1 l. 
",España,GRANINI,3.19 €,"3,19 €/l"
Fruta,Cereales con fruta Cruesli Quaker 375 g.,Desconocido,QUAKER,5.65 €,"15,07 €/kg"
Fruta,Bebida de fruta zanahoria y naranja Granini sin azúcares añadidos botella 1 l.,España,GRANINI,3.25 €,"3,25 €/l"
Fruta,Bebida de fruta arándanos y uva Granini sin azúcares añadidos botella 1 l.,España,GRANINI,3.25 €,"3,25 €/l"
Fruta,Bebida de fruta de arándano rojo Carrefour Sensation brik 1 l.,Francia,CARREFOUR,2.45 €,"2,45 €/l"
Fruta,Zumo de fruta y leche Don Simón Caribe pack de 6 briks de 20 cl.,España,DON SIMON,1.5 €,"1,25 €/l"
Fruta,Barritas de fruta y frutos secos con cacao nakd sin azúcar añadido 140 g.,Desconocido,NAKD,3.55 €,"25,36 €/kg"
Fruta,Bebida de fruta de naranja y mango con extracto de guaraná Juver brik 33 cl.,España,JUVER,1.07 €,"3,24 €/l"
Fruta,Bebida de fruta piña Juver sin azúcar añadido pack de 6 briks de 20 cl.,España,DISFRUTA,2.99 €,"2,49 €/l"
Fruta,Bebida de fruta melocotón sin azúcar añadido Juver-disfruta pack de 6 brik de 20 cl.,España,DISFRUTA,2.99 €,"2,49 €/l"
Fruta,Bebida de fruta naranja sin azúcar añadido Juver-Disfruta pack de 6 brik de 20 cl.,España,DISFRUTA,2.99 €,"2,49 €/l"
Fruta,Bebida de fruta multivitamínico Capri-Sun 20 cl.,Desconocido,CAPRI-SUN,0.74 €,"3,70 €/l"
